,Unnamed: 0,0,1,2,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,ratio
31,7,461.55,"2020  Château Beychevelle ""Amiral De Beychevelle"" Saint-Julien",https://www.i-d-s.com/dubai/2020-ch-teau-beychevelle-amiral-de-beychevelle-saint-julien-fw1226.html,france,https://www.vivino.com/FR/en/wines/1674282,4.1,Château Beychevelle Amiral de Beychevelle Saint-Julien 0,53.50,france,saint-julien,9699,0
32,8,78.20,La Chablisienne Chablis Grand Cru Les Clos,https://www.i-d-s.com/dubai/la-chablisienne-chablis-grand-cru-les-clos-fr1157.html,france,https://www.vivino.com/FR/en/wines/2083545,4.1,La Chablisienne Chablis Grand Cru 'Les Clos' 0,68.00,france,chablis-grand-cru-les-clos,451,4
33,9,39.55,Pouilly Fume Les Cris Domaine Cailbourdin,https://www.i-d-s.com/dubai/pouilly-fume-les-cris-domaine-cailbourdin-fr1361.html,france,https://www.vivino.com/FR/en/wines/1470230,3.9,Domaine A Cailbourdin Les Cris Pouilly-Fumé 0,—,france,pouilly-fume,2827,0
34,10,671.15,Cristal Roederer Brut 2009 Magnum,https://www.i-d-s.com/dubai/cristal-roederer-brut-2009-magnum-cp4028.html,france,https://www.vivino.com/FR/en/wines/1496773,4.6,Louis Roederer Cristal Brut Champagne (Millésimé) 0,350.00,france,champagne,48593,0
35,11,92.50,Bollinger Special Cuvée Brut,https://www.i-d-s.com/dubai/bollinger-special-cuv-e-brut-cp1071.html,france,https://www.vivino.com/FR/en/wines/164942597,4.3,Bollinger Special Cuvée Brut Aÿ Champagne 0,—,france,champagne,68330,4
36,0,445.40,"Fleur de Miraval, Rosé Champagne",https://www.i-d-s.com/dubai/fleur-de-miraval-ros-champagne-cp1030.html,france,https://www.vivino.com/FR/en/wines/165713784,4.4,Miraval Fleur de Miraval Exclusivement Rosé Champagne 0,334.00,france,champagne,538,3
37,1,"2,837.60","2016 Château Smith Haut Lafitte Rouge, Pessac -Leognan",https://www.i-d-s.com/dubai/2016-ch-teau-smith-haut-lafitte-rouge-pessac-leognan-fw1187.html,france,https://www.vivino.com/FR/en/wines/1961868,4.3,Château Smith Haut-Lafitte Pessac-Léognan (Grand Cru Classé) 0,94.00,france,pessac-leognan,29952,3
38,2,11.50,"Baron Philippe de Rothschild, Mouton Cadet Mathilde Rose BIO",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mouton-cadet-mathilde-rose-bio-fr1357.html,france,https://www.vivino.com/FR/en/wines/165005748,0.0,Baron Philippe de Rothschild La Bélière Bio Rosé 0,8.95,france,vin-de-pays-doc,1051,4
39,3,262.85,"Chateau Tour De Mons, Margaux",https://www.i-d-s.com/dubai/chateau-tour-de-mons-margaux-fw1222.html,france,https://www.vivino.com/FR/en/wines/1483045,4.0,Château La Tour de Mons Margaux 0,—,france,margaux,12148,0
40,4,766.25,2020 Château&nbsp;Les Ormes De Pez Cru Bourgeois Saint Estephe,https://www.i-d-s.com/dubai/2020-ch-teau-les-ormes-de-pez-cru-bourgeois-saint-estephe-fw1218.html,france,https://www.vivino.com/FR/en/wines/2096768,4.0,Château Ormes de Pez Saint-Estèphe 0,35.70,france,saint-estephe,19796,0
