,0,1,2,country
0,64.99,"Clos Mireille Blanc, Domaines Ott",https://www.i-d-s.com/dubai/clos-mireille-blanc-domaines-ott-fr1197.html,france
1,26.55,"L'Héritage` Pouilly-Fumé, Domaine Figeat, Loire, France",https://www.i-d-s.com/dubai/l-h-ritage-pouilly-fum-domaine-figeat-loire-france-fr1339.html,france
2,35.10,"Saint-Émilion Grand Cru, Château Tour de Capet, Bordeaux, France",https://www.i-d-s.com/dubai/saint-milion-grand-cru-ch-teau-tour-de-capet-bordeaux-france-fr1335.html,france
3,28.05,"Médoc Cru Bourgeois, Château Patache d'Aux, Bordeaux, France",https://www.i-d-s.com/dubai/m-doc-cru-bourgeois-ch-teau-patache-d-aux-bordeaux-france-fr1333.html,france
4,103.45,2017 Chateau Croix Mouton,https://www.i-d-s.com/dubai/2017-chateau-croix-mouton-fw1239.html,france
5,454.90,"2020 Chateau Beychevelle ""Amiral De Beychevelle"" St. Julien",https://www.i-d-s.com/dubai/2020-chateau-beychevelle-amiral-de-beychevelle-st-julien-fw1226.html,france
6,72.20,La Chablisienne Chablis Grand Cru Les Clos,https://www.i-d-s.com/dubai/la-chablisienne-chablis-grand-cru-les-clos-fr1157.html,france
7,65.65,Maison Champy Chassagne Montrachet,https://www.i-d-s.com/dubai/maison-champy-chassagne-montrachet-fr4405.html,france
8,87.50,"Masion Champy ""Les Chenevottes"" Chassagne Montrachet 1er Cru",https://www.i-d-s.com/dubai/masion-champy-les-chenevottes-chassagne-montrachet-1er-cru-fr4406.html,france
9,33.50,Masion Champy Cote de Beaune Villages,https://www.i-d-s.com/dubai/masion-champy-cote-de-beaune-villages-fr4408.html,france
10,68.05,Maison Champy Pommard,https://www.i-d-s.com/dubai/maison-champy-pommard-fr4419.html,france
11,206.65,Laurent-Perrier Grand Siècle Champagne ,https://www.i-d-s.com/dubai/laurent-perrier-grand-si-cle-champagne-cp4025.html,france
0,671.15,Cristal Roederer Brut 2009 Magnum,https://www.i-d-s.com/dubai/cristal-roederer-brut-2009-magnum-cp4028.html,france
1,16.75,Domaine Wiehlé Grand Cru Sporen Vendange Tardive,https://www.i-d-s.com/dubai/domaine-wiehl-grand-cru-sporen-vendange-tardive-dw4004.html,france
2,7.30,Cave de Turckheim Tradition Pinot Gris,https://www.i-d-s.com/dubai/cave-de-turckheim-tradition-pinot-gris-fr4351.html,france
3,9.65,Cave de Turckheim Pinot Noir [Organic],https://www.i-d-s.com/dubai/cave-de-turckheim-pinot-noir-organic-fr4352.html,france
4,4.95,Baron Philippe De Rothschild Bordeaux Blanc Aoc,https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-bordeaux-blanc-aoc-fr4063.html,france
5,16.00,"Clos de la Cure, Saint-Émilion Grand Cru",https://www.i-d-s.com/dubai/clos-de-la-cure-saint-milion-grand-cru-fr4358.html,france
6,13.30,"Château Milon, Saint-Émilion Grand Cru",https://www.i-d-s.com/dubai/ch-teau-milon-saint-milion-grand-cru-fr4359.html,france
7,11.50,"Château Layauga-Duboscq Classique, Médoc",https://www.i-d-s.com/dubai/ch-teau-layauga-duboscq-classique-m-doc-fr4361.html,france
8,8.10,Château Cavale Cuvée Saint-Michel (Organic) ,https://www.i-d-s.com/dubai/ch-teau-cavale-cuv-e-saint-michel-organic-fr4439.html,france
9,19.80,"Château Castelbruck, 'Cuvée Bruyères', Margaux",https://www.i-d-s.com/dubai/ch-teau-castelbruck-cuv-e-bruy-res-margaux-fr4355.html,france
10,35.60,"Château Haut-Marbuzet, Saint-Estèphe",https://www.i-d-s.com/dubai/ch-teau-haut-marbuzet-saint-est-phe-fr4360.html,france
11,4.85,Terres Nobles Jas du Roy,https://www.i-d-s.com/dubai/terres-nobles-jas-du-roy-fr4365.html,france
0,21.30,Les Croisières Blanc Bib 5 Ltr. (Sauvignon Blanc),https://www.i-d-s.com/dubai/les-croisi-res-blanc-bib-5-ltr-sauvignon-blanc-fr4324.html,france
1,28.00,Les Croisières Blanc Bib 5 Ltr (Chardonnay-Vermentino),https://www.i-d-s.com/dubai/les-croisi-res-blanc-bib-5-ltr-chardonnay-vermentino-fr4325.html,france
2,23.30,"Les Croisières Rouge Bib 5 Ltr. (Merlot, Syrah &amp; Cabernet Sauvignon)",https://www.i-d-s.com/dubai/les-croisi-res-rouge-bib-5-ltr-merlot-syrah-cabernet-sauvignon-fr4327.html,france
3,8.65,"La Collection by Maison Boutinot, Côtes de Thau Blanc",https://www.i-d-s.com/dubai/la-collection-by-maison-boutinot-c-tes-de-thau-blanc-fr4364.html,france
4,13.40,Domaine Roblin Sancerre Blanc ‘Terres Blanches’,https://www.i-d-s.com/dubai/domaine-roblin-sancerre-blanc-terres-blanches-fr4369.html,france
5,6.50,"Grandin Brut ""Cuvée De Réserve""",https://www.i-d-s.com/dubai/grandin-brut-cuv-e-de-r-serve-sw4042.html,france
6,9.05,A. Ogier &amp; Fils Experience Tavel Rosé,https://www.i-d-s.com/dubai/a-ogier-fils-experience-tavel-ros-fr4421.html,france
7,4.00,"Château des Eyssards, Côtes de Bergerac Moelleux",https://www.i-d-s.com/dubai/ch-teau-des-eyssards-c-tes-de-bergerac-moelleux-dw4044.html,france
8,96.25,Bollinger Special Cuvée Brut,https://www.i-d-s.com/dubai/bollinger-special-cuv-e-brut-cp1071.html,france
9,283.08,"Fleur de Miraval, Rosé Champagne",https://www.i-d-s.com/dubai/fleur-de-miraval-ros-champagne-cp1030.html,france
10,"2,527.65","2016 Chateau.Smith Haut Lafitte Rouge, Pessac -Leognan",https://www.i-d-s.com/dubai/2016-chateau-smith-haut-lafitte-rouge-pessac-leognan-fw1187.html,france
11,10.50,"Baron Philippe de Rothschild, Mouton Cadet Mathilde Rose BIO",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mouton-cadet-mathilde-rose-bio-fr1357.html,france
0,262.85,"Chateau Tour De Mons, Margaux",https://www.i-d-s.com/dubai/chateau-tour-de-mons-margaux-fw1222.html,france
1,711.50,2020 Chateau&nbsp;Ormes De Pez,https://www.i-d-s.com/dubai/2020-chateau-ormes-de-pez-fw1218.html,france
2,56.55,Mumm Grand Cordon,https://www.i-d-s.com/dubai/mumm-grand-cordon-cp4026.html,france
3,700.90,"2020 Sarget D Gruaud Larose, St Julien",https://www.i-d-s.com/dubai/2020-sarget-d-gruaud-larose-st-julien-fw1220.html,france
4,20.50,"Les Hauts de Perganson, Haut-Medoc, Bordeaux",https://www.i-d-s.com/dubai/les-hauts-de-perganson-haut-medoc-bordeaux-fr1334.html,france
5,70.70,Louis Jadot Pommard,https://www.i-d-s.com/dubai/louis-jadot-pommard-fr2057.html,france
6,9.40,"M.Chapoutier, Luberon 'La Ciboise' Rouge",https://www.i-d-s.com/dubai/m-chapoutier-luberon-la-ciboise-rouge-fr1279.html,france
7,12.80,"M.Chapoutier, Côtes-du-Rhône Blanc Adunatio , Collection Bio",https://www.i-d-s.com/dubai/m-chapoutier-c-tes-du-rh-ne-blanc-collection-bio-fr1271.html,france
8,33.00,Vranken Brut Nature VDC with Gift Box,https://www.i-d-s.com/dubai/vranken-brut-nature-vdc-with-gift-box-cp4019.html,france
9,10.90,"Côtes-du-Rhône Rouge, Les Terres du Roy, Southern Rhône, France",https://www.i-d-s.com/dubai/c-tes-du-rh-ne-rouge-les-terres-du-roy-southern-rh-ne-france-fr1340.html,france
10,76.85,Veuve Clicquot Yellow Label Brut,https://www.i-d-s.com/dubai/veuve-clicquot-yellow-label-brut-cp1016.html,france
11,63.05,Moët &amp; Chandon Brut Impérial,https://www.i-d-s.com/dubai/mo-t-chandon-brut-imp-rial-cp1011.html,france
0,10.00,"M.Chapoutier, Costières-de-Nîmes, Collection Bio “Areca” &amp; “Rouge” ",https://www.i-d-s.com/dubai/m-chapoutier-costi-res-de-n-mes-collection-bio-fr1280.html,france
1,12.30,"Château des Antonins Bordeaux Blanc, 2022",https://www.i-d-s.com/dubai/ch-teau-des-antonins-bordeaux-blanc-2022-fr1351.html,france
2,43.85,Maison Antoine Geoffroy Pouilly Fuisse,https://www.i-d-s.com/dubai/maison-antoine-geoffroy-pouilly-fuisse-fr1315.html,france
3,31.00,"Clos de la Cure, Saint-Émilion Grand Cru",https://www.i-d-s.com/dubai/clos-de-la-cure-saint-milion-grand-cru-fr1318.html,france
4,11.80,"Luberon Rosé, Famille Perrin, Southern Rhône, France",https://www.i-d-s.com/dubai/luberon-ros-famille-perrin-southern-rh-ne-france-fr1331.html,france
5,8.50,"Merlot/Grenache IGP Côtes de Thau, Les Vignes de L'Eglise, Languedoc, France",https://www.i-d-s.com/dubai/merlot-grenache-igp-c-tes-de-thau-les-vignes-de-l-eglise-languedoc-france-fr1329.html,france
