,0,1,2,country
6,9.85,"Syrah IGP Côtes de Thau, Baron de Badassière, Languedoc, France",https://www.i-d-s.com/dubai/syrah-igp-c-tes-de-thau-baron-de-badassi-re-languedoc-france-fr1328.html,france
7,10.55,"Chardonnay IGP, Les Caves de Richemer, Languedoc, France",https://www.i-d-s.com/dubai/chardonnay-igp-les-caves-de-richemer-languedoc-france-fr1327.html,france
8,754.25,"2019 Château Gloria, Saint Julien",https://www.i-d-s.com/dubai/2019-ch-teau-gloria-saint-julien-fw1205.html,france
9,"4,117.75","2015 Chateau Pichon Comtesse Lalande, Grand Cru Classe",https://www.i-d-s.com/dubai/2015-chateau-pichon-comtesse-lalande-grand-cru-classe-fw1795.html,france
10,"2,485.70","2012 Château La Mission Haut-Brion, Grand Cru Classé de Graves, Pessac-Léognan",https://www.i-d-s.com/dubai/2012-ch-teau-la-mission-haut-brion-grand-cru-class-de-graves-pessac-l-ognan-fw1188.html,france
11,18.50,Château Moncontour Vouvray Brut,https://www.i-d-s.com/dubai/ch-teau-moncontour-vouvray-brut-sw2003.html,france
0,183.95,"Maison Antoine Geoffroy, Beaune, Puligny Montrachet 1Er Cru Les Combettes ",https://www.i-d-s.com/dubai/maison-antoine-geoffroy-beaune-puligny-montrachet-1er-cru-les-combettes-fr1307.html,france
1,76.25,"Maison Antoine Geoffroy, Beaune, Gevrey Chambertin Vieilles Vignes ",https://www.i-d-s.com/dubai/maison-antoine-geoffroy-beaune-gevrey-chambertin-vieilles-vignes-fr1308.html,france
2,45.90,"Domaine Daniel-Etienne Defaix, Chablis Vieilles Vignes",https://www.i-d-s.com/dubai/domaine-daniel-etienne-defaix-chablis-vieilles-vignes-fr1305.html,france
3,234.35,"2019 Connetable de Talbot, Saint Julien",https://www.i-d-s.com/dubai/2019-connetable-de-talbot-saint-julien-fw1200.html,france
4,16.25,Cave de Turckheim Gewurztraminer Reserve,https://www.i-d-s.com/dubai/cave-de-turckheim-gewurztraminer-reserve-fr1310.html,france
5,27.35,Schröder and Schÿler Margaux Private Selection,https://www.i-d-s.com/dubai/schr-der-and-sch-ler-margaux-private-selection-fr1299.html,france
6,202.15,2017 Chateau Croix Mouton,https://www.i-d-s.com/dubai/2017-chateau-croix-mouton-fw1184.html,france
7,19.60,"JCB No. 21` Crémant de Bourgogne Brut, JCB by Jean-Charles Boisset, Burgundy",https://www.i-d-s.com/dubai/jcb-no-21-cr-mant-de-bourgogne-brut-jcb-by-jean-charles-boisset-burgundy-sw1071.html,france
8,55.15,"Miraval, Côtes de Provence Rosé, Magnum",https://www.i-d-s.com/dubai/miraval-c-tes-de-provence-ros-magnum-fr4423.html,france
9,38.20,Remoissenet Santenay Blanc 2018,https://www.i-d-s.com/dubai/remoissenet-santenay-blanc-2018-fr4429.html,france
10,43.45,Château Mont-Redon Châteauneuf-du-Pape Rouge,https://www.i-d-s.com/dubai/ch-teau-mont-redon-ch-teauneuf-du-pape-rouge-zz18126.html,france
11,30.00,"Miraval, 'Studio' Rosé, Magnum",https://www.i-d-s.com/dubai/miraval-studio-ros-magnum-fr1288.html,france
0,17.50,"Miraval, 'Studio' Rosé",https://www.i-d-s.com/dubai/miraval-studio-ros-fr1287.html,france
1,56.70,Perrier-Jouët Grand Brut,https://www.i-d-s.com/dubai/perrier-jou-t-grand-brut-cp1003.html,france
2,45.75,Savigny Les Beaune Antoine Geoffroy,https://www.i-d-s.com/dubai/savigny-les-beaune-antoine-geoffroy-fr4436.html,france
3,14.60,"M.Chapoutier, Côtes-du-Rhône Rouge Adubatio , Collection Bio",https://www.i-d-s.com/dubai/m-chapoutier-c-tes-du-rh-ne-rouge-collection-bio-fr1278.html,france
4,11.60,"M.Chapoutier, 'Belleruche' Côtes-du-Rhône Rouge",https://www.i-d-s.com/dubai/m-chapoutier-belleruche-c-tes-du-rh-ne-rouge-fr1277.html,france
5,46.30,"M.Chapoutier, Châteauneuf-du-Pape, Collection Bio Rouge",https://www.i-d-s.com/dubai/m-chapoutier-ch-teauneuf-du-pape-collection-bio-rouge-fr1276.html,france
6,12.25,"Marius, Avenue de la Gare Syrah, IGP Collines Rhodaniennes ",https://www.i-d-s.com/dubai/marius-avenue-de-la-gare-syrah-igp-collines-rhodaniennes-fr1275.html,france
7,40.35,"M.Chapoutier, Cornas 'Les Arènes'",https://www.i-d-s.com/dubai/m-chapoutier-cornas-les-ar-nes-fr1274.html,france
8,29.90,"M.Chapoutier, Saint-Joseph 'Deschants' Rouge",https://www.i-d-s.com/dubai/m-chapoutier-saint-joseph-deschants-rouge-fr1273.html,france
9,11.95,"M.Chapoutier, 'Belleruche' Côtes-du-Rhône Blanc",https://www.i-d-s.com/dubai/m-chapoutier-belleruche-c-tes-du-rh-ne-blanc-fr1270.html,france
10,10.55,"M.Chapoutier, Luberon 'La Ciboise' Blanc",https://www.i-d-s.com/dubai/m-chapoutier-luberon-la-ciboise-blanc-fr1269.html,france
11,24.15,"M.Chapoutier, Saint-Péray 'Les Tanneurs' ",https://www.i-d-s.com/dubai/m-chapoutier-saint-p-ray-les-tanneurs-fr1268.html,france
0,17.10,"M.Chapoutier, 'La Combe Pilate' Viognier, IGP Collines Rhodaniennes",https://www.i-d-s.com/dubai/m-chapoutier-la-combe-pilate-viognier-igp-collines-rhodaniennes-fr1267.html,france
1,26.15,"M.Chapoutier, Saint-Joseph 'Deschants' Blanc",https://www.i-d-s.com/dubai/m-chapoutier-saint-joseph-deschants-blanc-fr1266.html,france
2,18.30,"Domaine Trénel, Climat Fleurie 'La Madone' (Single Vineyard)",https://www.i-d-s.com/dubai/domaine-tr-nel-fleurie-la-madone-single-vineyard-fr1265.html,france
3,13.65,"Domaine Trénel, Beaujolais Organic "" Rouge""",https://www.i-d-s.com/dubai/domaine-tr-nel-beaujolais-organic-fr1264.html,france
4,18.00,"Domaine Trénel, Moulin à vent, Cru de Beaujolais",https://www.i-d-s.com/dubai/domaine-tr-nel-moulin-vent-cru-de-beaujolais-fr1263.html,france
5,11.50,"Domaine Trénel, Coteaux-Bourguignons, Vin de Bourgogne",https://www.i-d-s.com/dubai/domaine-tr-nel-coteaux-bourguignons-vin-de-bourgogne-fr1262.html,france
6,20.80,"Domaine Trénel, Viré Clessé Chardonnay, Vin de Bourgogne",https://www.i-d-s.com/dubai/domaine-tr-nel-vir-cless-chardonnay-vin-de-bourgogne-fr1261.html,france
7,16.15,"Domaine Bila-Haut,'Occultum Lapidem', Côtes-du-Roussillon Rouge",https://www.i-d-s.com/dubai/domaine-bila-haut-occultum-lapidem-c-tes-du-roussillon-rouge-fr1284.html,france
8,16.15,"Domaine Bila-Haut, 'Occultum Lapidem', Côtes-du-Roussillon Blanc",https://www.i-d-s.com/dubai/domaine-bila-haut-occultum-lapidem-c-tes-du-roussillon-blanc-fr1283.html,france
9,15.45,"M.Chapoutier, Muscat de Beaumes-de-Venise",https://www.i-d-s.com/dubai/m-chapoutier-muscat-de-beaumes-de-venise-dw1007.html,france
10,"4,070.05","2009 Château Lynch Bages, 5ème Cru Classé, Pauillac",https://www.i-d-s.com/dubai/2008-ch-teau-lynch-bages-5-me-cru-class-pauillac-fw1153.html,france
11,37.19,"Chateau Pontac Lynch Cru, Bourgeois",https://www.i-d-s.com/dubai/chateau-pontac-lynch-cru-bourgeois-ex1020.html,france
0,194.10,Perrier-Jouët Belle Epoque,https://www.i-d-s.com/dubai/perrier-jou-t-belle-epoque-cp1004.html,france
1,51.75,Mumm Cordon Rouge Brut,https://www.i-d-s.com/dubai/mumm-cordon-rouge-brut-cp1008.html,france
2,67.25,Moët &amp; Chandon Grand Vintage Blanc,https://www.i-d-s.com/dubai/mo-t-chandon-grand-vintage-blanc-cp2004.html,france
3,48.75,Vranken Brut Nature VDC Magnum 1.5L with Gift Box,https://www.i-d-s.com/dubai/vranken-brut-nature-vdc-magnum-1-5l-with-gift-box-cp4016.html,france
4,44.85,Champagne Pommery Blue Sky with Gift Box,https://www.i-d-s.com/dubai/champagne-pommery-blue-sky-with-gift-box-cp4020.html,france
5,36.25,Champagne Pommery Apanage with Gift Box,https://www.i-d-s.com/dubai/champagne-pommery-apanage-with-gift-box-cp4021.html,france
6,19.70,"Gerard Betrand Banyuls, Languedoc-Roussillon",https://www.i-d-s.com/dubai/gerard-betrand-banyuls-languedoc-roussillon-fr2013.html,france
7,18.10,Louis Latour Macon Lugny,https://www.i-d-s.com/dubai/louis-latour-macon-lugny-fr2040.html,france
8,80.90,"Louis Latour Gevrey-Chambertin, Cotes de Nuits",https://www.i-d-s.com/dubai/louis-latour-gevrey-chambertin-cotes-de-nuits-fr2048.html,france
9,88.75,"Louis Latour Nuits-St Georges, Cotes de Nuits",https://www.i-d-s.com/dubai/louis-latour-nuits-st-georges-cotes-de-nuits-fr2049.html,france
10,45.00,Bouchard Pere &amp; Fils Pommard,https://www.i-d-s.com/dubai/bouchard-pere-fils-pommard-fr2056.html,france
11,16.70,Les Alexandrins Cotes du Rhone Rouge 'Terrasses de L'Eridan',https://www.i-d-s.com/dubai/les-alexandrins-cotes-du-rhone-rouge-terrasses-de-l-eridan-fr1168.html,france
0,46.20,"Chateau Marzy, Pomerol",https://www.i-d-s.com/dubai/chateau-marzy-pomerol-fr1234.html,france
1,26.40,Domaine des Bosquets `La Font des Bosquets` Gigondas,https://www.i-d-s.com/dubai/domaine-des-bosquets-la-font-des-bosquets-gigondas-fr2031.html,france
2,17.60,"""La Côte Sauvage"" Cairanne",https://www.i-d-s.com/dubai/la-c-te-sauvage-cairanne-fr1239.html,france
3,6.00,Kuehn Riesling D'Alsace,https://www.i-d-s.com/dubai/kuehn-riesling-d-alsace-fr4003.html,france
4,15.00,Domaine Wiehlé Riesling Grand Cru Sporen,https://www.i-d-s.com/dubai/domaine-wiehl-riesling-grand-cru-sporen-fr4007.html,france
5,27.85,Domaine Henry Pellé Menetou-Salon Morogues,https://www.i-d-s.com/dubai/domaine-henry-pell-menetou-salon-morogues-fr4023.html,france
6,"2,915.50","2010 Château Beychevelle, 4ème Cru Classé, Saint-Julien",https://www.i-d-s.com/dubai/2010-ch-teau-beychevelle-4-me-cru-class-saint-julien-fw1012.html,france
7,19.55,"Domaine De La Soucherie ""Clos Des Perrieres-Savennières""",https://www.i-d-s.com/dubai/domaine-de-la-soucherie-clos-des-perrieres-savenni-res-fr4030.html,france
8,21.65,Château De Coulaine Chinon Rouge,https://www.i-d-s.com/dubai/ch-teau-de-coulaine-chinon-rouge-fr4037.html,france
9,28.25,"Domaine Laporte Sancerre Rouge, ""Les Grandmontains"" Bio",https://www.i-d-s.com/dubai/domaine-laporte-sancerre-rouge-les-grandmontains-bio-fr4042.html,france
10,"2,472.75","2015 Château Lynch Bages, 5ème Cru Classé, Pauillac",https://www.i-d-s.com/dubai/2015-ch-teau-lynch-bages-5-me-cru-class-pauillac-fw1018.html,france
11,"2,394.25","2013 Chateau Pavie, Saint Emilion Grand Cru",https://www.i-d-s.com/dubai/2013-chateau-pavie-saint-emilion-grand-cru-fw1042.html,france
0,4.40,"Château Des Eyssards, Bergerac Rosé",https://www.i-d-s.com/dubai/ch-teau-des-eyssards-bergerac-ros-fr4046.html,france
1,6.65,"Château Des Eyssards, Bergerac Rouge Cuvée Prestige",https://www.i-d-s.com/dubai/ch-teau-des-eyssards-bergerac-rouge-cuv-e-prestige-fr4048.html,france
2,"1,030.75","2015 Château Kirwan, 3ème Cru Classé, Margaux",https://www.i-d-s.com/dubai/2015-ch-teau-kirwan-3-me-cru-class-margaux-fw1030.html,france
3,505.40,"2015 Château Corbin, St Emilion",https://www.i-d-s.com/dubai/2015-ch-teau-corbin-st-emilion-fw1152.html,france
4,"2,941.60","2010 Château Rauzan Ségla, 2ème Cru Classé, Margaux",https://www.i-d-s.com/dubai/2010-ch-teau-rauzan-s-gla-2-me-cru-class-margaux-fw1007.html,france
5,9.15,Château Laffitte Teston Reflet Du Terroir,https://www.i-d-s.com/dubai/ch-teau-laffitte-teston-reflet-du-terroir-fr4059.html,france
6,6.55,Château La Piecelle Bordeaux Superieur,https://www.i-d-s.com/dubai/ch-teau-la-piecelle-bordeaux-superieur-fr4078.html,france
7,5.25,"Château Les Aublines, Blaye, Côtes De Bordeaux",https://www.i-d-s.com/dubai/ch-teau-les-aublines-blaye-c-tes-de-bordeaux-fr4082.html,france
8,18.20,"Château Chasse-Spleen, Bordeaux Blanc",https://www.i-d-s.com/dubai/ch-teau-chasse-spleen-bordeaux-blanc-fr4084.html,france
9,22.15,"Château Poujeaux, Moulis Cru Bourgeois Exceptionnel",https://www.i-d-s.com/dubai/ch-teau-poujeaux-moulis-cru-bourgeois-exceptionnel-fr4087.html,france
10,7.80,"Château Haut-Mayne ""Réserve De La Famille"", Graves Blanc",https://www.i-d-s.com/dubai/ch-teau-haut-mayne-r-serve-de-la-famille-graves-blanc-fr4089.html,france
11,16.90,"Château Lamothe-Bouscaut Blanc, Pessac-Léognan",https://www.i-d-s.com/dubai/ch-teau-lamothe-bouscaut-blanc-pessac-l-ognan-fr4093.html,france
0,30.65,"Château Bouscaut Blanc, Pessac-Léognan Grand Cru Classé",https://www.i-d-s.com/dubai/ch-teau-bouscaut-blanc-pessac-l-ognan-grand-cru-class-fr4094.html,france
1,16.15,"Château Lamothe-Bouscaut, Pessac-Léognan Rouge",https://www.i-d-s.com/dubai/ch-teau-lamothe-bouscaut-pessac-l-ognan-rouge-fr4097.html,france
2,22.70,"Château Bouscaut Rouge, Pessac-Léognan Grand Cru Classé",https://www.i-d-s.com/dubai/ch-teau-bouscaut-rouge-pessac-l-ognan-grand-cru-class-fr4098.html,france
3,23.50,"Château Fleur Lartigue, Saint Emilion Grand Cru Magnum (1.5L)",https://www.i-d-s.com/dubai/ch-teau-fleur-lartigue-saint-emilion-grand-cru-magnum-1-5l-fr4115.html,france
4,25.85,Château La Grave Pomerol,https://www.i-d-s.com/dubai/ch-teau-la-grave-pomerol-fr4122.html,france
5,42.10,"Château Franc-Maillet, Pomerol",https://www.i-d-s.com/dubai/ch-teau-franc-maillet-pomerol-fr4123.html,france
6,35.60,"Blason De L'Évangile, Pomerol",https://www.i-d-s.com/dubai/blason-de-l-vangile-pomerol-fr4124.html,france
7,235.70,"Château L'Évangile, Pomerol",https://www.i-d-s.com/dubai/ch-teau-l-vangile-pomerol-fr4125.html,france
8,16.00,"Château Maucamps, Haut-Médoc Cru Bourgeois Supérieur",https://www.i-d-s.com/dubai/ch-teau-maucamps-haut-m-doc-cru-bourgeois-sup-rieur-fr4134.html,france
9,18.50,"Clos De May, Haut-Médoc Magnum (1.5L)",https://www.i-d-s.com/dubai/clos-de-may-haut-m-doc-magnum-1-5l-fr4135.html,france
10,29.15,"Château Sociando-Mallet, Haut-Médoc",https://www.i-d-s.com/dubai/ch-teau-sociando-mallet-haut-m-doc-fr4137.html,france
11,28.00,"Château Petit Bocq, Saint-Estèphe Cru Bourgeois Supérieur",https://www.i-d-s.com/dubai/ch-teau-petit-bocq-saint-est-phe-cru-bourgeois-sup-rieur-fr4140.html,france
0,37.40,"La Fleur De Haut-Bages Libéral, Pauillac",https://www.i-d-s.com/dubai/la-fleur-de-haut-bages-lib-ral-pauillac-fr4144.html,france
1,34.50,"Château Teynac, Saint-Julien",https://www.i-d-s.com/dubai/ch-teau-teynac-saint-julien-fr4148.html,france
2,39.70,"Connetable De Talbot, Saint-Julien",https://www.i-d-s.com/dubai/connetable-de-talbot-saint-julien-fr4149.html,france
3,37.95,"Sarget De Gruaud Larose, Saint-Julien",https://www.i-d-s.com/dubai/sarget-de-gruaud-larose-saint-julien-fr4150.html,france
4,23.10,"Les Fiefs De Lagrange, Saint-Julien",https://www.i-d-s.com/dubai/les-fiefs-de-lagrange-saint-julien-fr4151.html,france
5,17.85,"Origine De Desmirail, Margaux (Denis Lurton)",https://www.i-d-s.com/dubai/origine-de-desmirail-margaux-denis-lurton-fr4154.html,france
6,38.40,"Château La Gurgue, Margaux Cru Bourgeois Supérieur",https://www.i-d-s.com/dubai/ch-teau-la-gurgue-margaux-cru-bourgeois-sup-rieur-fr4156.html,france
7,80.40,"Château Durfort-Vivens, Margaux Grand Cru Classé Biodynamie",https://www.i-d-s.com/dubai/ch-teau-durfort-vivens-margaux-grand-cru-class-biodynamie-fr4158.html,france
8,10.05,Château L'Ermitage Cuvée Auzan Blanc,https://www.i-d-s.com/dubai/ch-teau-l-ermitage-cuv-e-auzan-blanc-fr4160.html,france
9,5.10,"Coudelier Original, Costières De Nîmes",https://www.i-d-s.com/dubai/coudelier-original-costi-res-de-n-mes-fr4161.html,france
10,5.80,Château L'Ermitage Cuvée Auzan Rouge,https://www.i-d-s.com/dubai/ch-teau-l-ermitage-cuv-e-auzan-rouge-fr4162.html,france
11,15.40,"Domaine La Marche Rully Blanc ""Les Plantenays"", Bio",https://www.i-d-s.com/dubai/domaine-la-marche-rully-blanc-les-plantenays-bio-fr4171.html,france
0,29.50,Remoissenet Père &amp; Fils Givry,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-givry-fr4178.html,france
1,24.65,Domaine Laroche Chablis St-Martin,https://www.i-d-s.com/dubai/domaine-laroche-chablis-st-martin-fr4183.html,france
2,32.08,"Domaine Laroche, Chablis 1er Cru `Les Vaudevey`",https://www.i-d-s.com/dubai/domaine-laroche-chablis-1er-cru-les-vaudevey-fr4186.html,france
3,46.60,"Domanie Laroche, Chablis 1er Cru ‘Les Vaillons’ Vieilles Vignes",https://www.i-d-s.com/dubai/domanie-laroche-chablis-1er-cru-les-vaillons-vieilles-vignes-fr4187.html,france
4,56.75,"Jean-Marc Brocard Chablis Grand Cru ""Valmur""",https://www.i-d-s.com/dubai/jean-marc-brocard-chablis-grand-cru-valmur-fr4188.html,france
5,67.75,"Jean-Marc Brocard Chablis Grand Cru ""Les Preuses""",https://www.i-d-s.com/dubai/jean-marc-brocard-chablis-grand-cru-les-preuses-fr4189.html,france
6,55.40,"Domaine Laroche, Chablis Grand Cru `Les Clos`",https://www.i-d-s.com/dubai/domaine-laroche-chablis-grand-cru-les-clos-fr4191.html,france
7,33.80,Remoissenet Père &amp; Fils Saint-Romain,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-saint-romain-fr4195.html,france
8,69.65,Albert Bichot Meursault,https://www.i-d-s.com/dubai/albert-bichot-meursault-fr4197.html,france
9,73.70,Remoissenet Père &amp; Fils Puligny Montrachet,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-puligny-montrachet-fr4203.html,france
10,33.45,Remoissenet Père &amp; Fils Savigny Les Beaune,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-savigny-les-beaune-fr4206.html,france
11,53.70,Louis Jadot Saint Aubin,https://www.i-d-s.com/dubai/louis-jadot-saint-aubin-fr4210.html,france
0,12.00,"Ferraton Père &amp; Fils Crozes-Hermitage Blanc ""Matinière""",https://www.i-d-s.com/dubai/ferraton-p-re-fils-crozes-hermitage-blanc-matini-re-fr4236.html,france
1,14.30,"Ferraton Père &amp; Fils Saint-Joseph Blanc ""La Source""",https://www.i-d-s.com/dubai/ferraton-p-re-fils-saint-joseph-blanc-la-source-fr4237.html,france
