,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price_bucket,confidence bucket
6,30.35,"Teso De La Monja Victorino, Tinto De Toro",https://www.i-d-s.com/dubai/teso-de-la-monja-victorino-tinto-de-toro-sp4104.html,spain,https://www.vivino.com/FR/en/wines/1481354,4.3,Teso La Monja Victorino 0,"42,95",spain,toro,10024,73,30 - 40 USD,80
7,11.65,Martín Codax Cuatro Pasos Mencia,https://www.i-d-s.com/dubai/mart-n-codax-cuatro-pasos-mencia-sp4073.html,spain,https://www.vivino.com/FR/en/wines/153104759,4.3,Cuatro Pasos Martin Sarmiento Mencia 0,—,spain,bierzo,169,54,10 - 20 USD,60
8,19.2,"Contino Reserva, Rioja,",https://www.i-d-s.com/dubai/contino-reserva-rioja-sp4028.html,spain,https://www.vivino.com/FR/en/wines/157617323,4.3,Contino Laserna Reserva 0,—,spain,rioja,17281,67,10 - 20 USD,70
9,49.15,"Vinícola Real 200 Monjes, Rioja",https://www.i-d-s.com/dubai/vin-cola-real-200-monjes-rioja-sp4030.html,spain,https://www.vivino.com/FR/en/wines/1501700,4.3,Vinícola Real 200 Monges Rioja Reserva 0,—,spain,rioja,10054,82,40 - 50 USD,90
10,35.6,"Château Haut-Marbuzet, Saint-Estèphe",https://www.i-d-s.com/dubai/ch-teau-haut-marbuzet-saint-est-phe-fr4360.html,france,https://www.vivino.com/FR/en/wines/1855418,4.2,Château Haut-Marbuzet Saint-Estèphe 0,"47,00",france,saint-estephe,24143,96,30 - 40 USD,100
11,37.19,"Chateau Pontac Lynch Cru, Bourgeois",https://www.i-d-s.com/dubai/chateau-pontac-lynch-cru-bourgeois-ex1020.html,france,https://www.vivino.com/FR/en/wines/134644422,0,Pontaclynch Margaux Cru Bourgeois 0,—,france,pauillac,59552,71,30 - 40 USD,80
0,43.45,Château Mont-Redon Châteauneuf-du-Pape Rouge,https://www.i-d-s.com/dubai/ch-teau-mont-redon-ch-teauneuf-du-pape-rouge-zz18126.html,france,https://www.vivino.com/FR/en/wines/141143040,4.2,Château Mont-Redon Vignoble Fabre Chateauneuf-du-Pape Rouge 0,—,france,chateauneuf-du-pape,977,82,40 - 50 USD,90
1,56.7,Perrier-Jouët Grand Brut,https://www.i-d-s.com/dubai/perrier-jou-t-grand-brut-cp1003.html,france,https://www.vivino.com/FR/en/wines/164942675,4.2,Perrier-Jouët Grand Brut Champagne 0,"51,90",france,champagne,44344,80,50 - 60 USD,80
2,67.25,Moët &amp; Chandon Grand Vintage Blanc,https://www.i-d-s.com/dubai/mo-t-chandon-grand-vintage-blanc-cp2004.html,france,https://www.vivino.com/FR/en/wines/1779921,4.2,Moët \u0026 Chandon Grand Vintage Brut Champagne 0,"60,83",france,champagne,17639,70,60 - 70 USD,70
3,46.2,"Chateau Marzy, Pomerol",https://www.i-d-s.com/dubai/chateau-marzy-pomerol-fr1234.html,france,https://www.vivino.com/FR/en/wines/4184852,4.2,Château Marzy Pomerol 0,"25,59",france,pomerol,3912,89,40 - 50 USD,90
4,"1,030.75","2015 Château Kirwan, 3ème Cru Classé, Margaux",https://www.i-d-s.com/dubai/2015-ch-teau-kirwan-3-me-cru-class-margaux-fw1030.html,france,https://www.vivino.com/FR/en/wines/1488914,4.2,Château Kirwan Margaux (Grand Cru Classé) 0,"54,60",france,margaux,17893,64,>100 USD,70
5,25.85,Château La Grave Pomerol,https://www.i-d-s.com/dubai/ch-teau-la-grave-pomerol-fr4122.html,france,https://www.vivino.com/FR/en/wines/4626839,4.2,Château La Grave (Trigant de Boisset) Pomerol 0,"60,93",france,pomerol,5053,68,20 - 30 USD,70
6,56.75,"Jean-Marc Brocard Chablis Grand Cru ""Valmur""",https://www.i-d-s.com/dubai/jean-marc-brocard-chablis-grand-cru-valmur-fr4188.html,france,https://www.vivino.com/FR/en/wines/4722043,4.2,Jean-Marc Brocard Chablis Grand Cru 'Valmur' 0,—,france,chablis-grand-cru-valmur,254,93,50 - 60 USD,100
7,33.8,Remoissenet Père &amp; Fils Saint-Romain,https://www.i-d-s.com/dubai/remoissenet-p-re-fils-saint-romain-fr4195.html,france,https://www.vivino.com/FR/en/wines/8821896,4.2,Remoissenet Père \u0026 Fils Saint-Romain 0,—,france,saint-romain,516,84,30 - 40 USD,90
8,80.9,"Louis Latour Gevrey-Chambertin, Cotes de Nuits",https://www.i-d-s.com/dubai/louis-latour-gevrey-chambertin-cotes-de-nuits-fr2048.html,france,https://www.vivino.com/FR/en/wines/7708334,0,Rene Jacqueson Gevrey Chambertin 0,—,france,bourgogne-hautes-cotes-de-nuits,5179,52,80 - 90 USD,60
9,27.85,"A. Ogier &amp; Fils Châteauneuf-Du-Pape Rouge ""Clos De L'Oratoire""",https://www.i-d-s.com/dubai/a-ogier-fils-ch-teauneuf-du-pape-rouge-clos-de-l-oratoire-fr4254.html,france,https://www.vivino.com/FR/en/wines/1471275,4.2,Ogier Clos de l'Oratoire des Papes Châteauneuf-du-Pape 0,"44,40",france,chateauneuf-du-pape,38396,49,20 - 30 USD,50
10,59.85,"Ferraton Père &amp; Fils Ermitage Rouge ""Les Méal"" Bio",https://www.i-d-s.com/dubai/ferraton-p-re-fils-ermitage-rouge-les-m-al-bio-fr4256.html,france,https://www.vivino.com/FR/en/wines/4771379,4.2,Ferraton Père \u0026 Fils Hermitage Les Miaux Rouge 0,"56,70",france,hermitage,914,69,50 - 60 USD,70
11,14.4,"Château Bel Evêque ""Cuvée Cardinal"", Corbières",https://www.i-d-s.com/dubai/ch-teau-bel-ev-que-cuv-e-cardinal-corbi-res-fr4290.html,france,https://www.vivino.com/FR/en/wines/4978006,4.2,Chateau Bel Éveque - Vins Pierre Richard Cuvée Cardinal 0,—,france,corbieres,618,60,10 - 20 USD,60
0,54.1,Louis Jadot Nuits-St-Georges,https://www.i-d-s.com/dubai/louis-jadot-nuits-st-georges-fr4410.html,france,https://www.vivino.com/FR/en/wines/1569322,4.2,Louis Jadot Nuits-Saint-Georges Les Saint-Georges 0,"112,50",france,nuits-saint-georges-premier-cru,1466,71,50 - 60 USD,80
1,78.85,Beau Joie Brut Champagne ,https://www.i-d-s.com/dubai/beau-joie-brut-champagne-cp1028.html,france,https://www.vivino.com/FR/en/wines/1882223,4.2,Beau Joie Brut Champagne (Special Cuvée) 0,—,france,champagne,1426,75,70 - 80 USD,80
2,"2,607.50","2008 Château Calon Segur, 3ème Cru Classé, Saint-Estèphe",https://www.i-d-s.com/dubai/2008-ch-teau-calon-segur-3-me-cru-class-saint-est-phe-fw1066.html,france,https://www.vivino.com/FR/en/wines/1513288,4.2,Château Calon-Ségur Saint-Estèphe (Grand Cru Classé) 0,"127,00",france,saint-estephe,28701,58,>100 USD,60
3,76.7,Veuve Cliquot Rich,https://www.i-d-s.com/dubai/veuve-cliquot-rich-cp2023.html,france,https://www.vivino.com/FR/en/wines/3041889,4.2,Veuve Clicquot Vintage Rich Champagne 0,"63,00",france,champagne,3364,63,70 - 80 USD,70
4,15,Domaine Wiehlé Riesling Grand Cru Sporen,https://www.i-d-s.com/dubai/domaine-wiehl-riesling-grand-cru-sporen-fr4007.html,france,https://www.vivino.com/FR/en/wines/173893411,0,Domaine Wiehle Spores Riesling Alsace Grand Cru 0,—,france,alsace-grand-cru,-,74,10 - 20 USD,80
