price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price_bucket,confidence bucket
39.99,Nicolas Feuillatte Brut with Gift Box,https://www.i-d-s.com/dubai/nicolas-feuillatte-brut-with-gift-box-cp1066.html,france,https://www.vivino.com/FR/en/wines/157213587,3.9,Nicolas Feuillatte Réserve Exclusive Brut Champagne 0,—,france,champagne-grand-cru-chouilly,26179,60,30 - 40 USD,60
37.00,Chateau Fleur de Pedesclaux,https://www.i-d-s.com/dubai/chateau-fleur-de-pedesclaux-fr1399.html,france,https://www.vivino.com/FR/en/wines/1931635,4,Château Pédesclaux Fleur de Pédesclaux Pauillac 0,—,france,pauillac,7166,66,30 - 40 USD,70
34.30,Domaine Cailbourdin Pouilly Fume ‘Les Racines’,https://www.i-d-s.com/dubai/domaine-cailbourdin-pouilly-fume-les-racines-fr1380.html,france,https://www.vivino.com/FR/en/wines/173651106,4,Domaine A Cailbourdin Pouilly Fume Les Racines 0,—,france,pouilly-fume,223,94,30 - 40 USD,100
111.70,2018 Chateau Croix Mouton,https://www.i-d-s.com/dubai/2018-chateau-croix-mouton-fw1253.html,france,https://www.vivino.com/FR/en/wines/4733991,3.6,Château Croix Mouton Bordeaux Supérieur 0,—,france,bordeaux-superieur,10451,58,>100 USD,60
1487.50,"2010 Château Beychevelle, 4ème Cru Classé, Saint-Julien",https://www.i-d-s.com/dubai/2010-ch-teau-beychevelle-4-me-cru-class-saint-julien-fw1225.html,france,https://www.vivino.com/FR/en/wines/2048358,4.3,Château Beychevelle Saint-Julien (Grand Cru Classé) 0,—,france,saint-julien,29432,61,>100 USD,70
350.45,"2020 Sarget D Gruaud Larose, Saint-Julien",https://www.i-d-s.com/dubai/2020-sarget-d-gruaud-larose-saint-julien-fw1249.html,france,https://www.vivino.com/FR/en/wines/1532644,4,Château Gruaud Larose Sarget de Gruaud Larose Saint-Julien 0,33.17,france,saint-julien,18391,71,>100 USD,80
720.05,2017 Château Les Ormes de Pez Cru Bourgeois Saint Estephe,https://www.i-d-s.com/dubai/2017-ch-teau-les-ormes-de-pez-cru-bourgeois-saint-estephe-fw1248.html,france,https://www.vivino.com/FR/en/wines/2096768,4,Château Ormes de Pez Saint-Estèphe 0,35.7,france,saint-estephe,19796,69,>100 USD,70
1011.80,"2015 Château Corbin, Saint-Emilion",https://www.i-d-s.com/dubai/2015-ch-teau-corbin-saint-emilion-fw1246.html,france,https://www.vivino.com/FR/en/wines/1545587,4,Château Grand Corbin-Despagne Saint-Émilion Grand Cru (Grand Cru Classé) 0,31.9,france,st-emilion-grand-cru,8747,50,>100 USD,50
189.45,2020 Brulieres de Beychevelle,https://www.i-d-s.com/dubai/2020-brulieres-de-beychevelle-fw1247.html,france,https://www.vivino.com/FR/en/wines/3049571,4.1,Château Beychevelle Les Brulières de Beychevelle Haut-Médoc 0,—,france,haut-medoc,3457,53,>100 USD,60
24.55,"Clos l'Hermitage, Lalande de Pomerol",https://www.i-d-s.com/dubai/clos-l-hermitage-lalande-de-pomerol-fr1320.html,france,https://www.vivino.com/FR/en/wines/4986441,3.8,Bertin \u0026 Fils Clos l'Hermitage Lalande de Pomerol 0,—,france,lalande-de-pomerol,974,76,20 - 30 USD,80
45.00,"Château Tayac, Margaux",https://www.i-d-s.com/dubai/ch-teau-tayac-margaux-fr1319.html,france,https://www.vivino.com/FR/en/wines/2031316,4,Château Tayac Margaux 0,24.95,france,margaux,6875,93,40 - 50 USD,100
12.60,"Château des Antonins, Bordeaux Supérieur",https://www.i-d-s.com/dubai/ch-teau-des-antonins-bordeaux-sup-rieur-fr1332.html,france,https://www.vivino.com/FR/en/wines/4826698,3.6,Château des Antonins Bordeaux Supérieur 0,—,france,bordeaux-superieur,1089,96,10 - 20 USD,100
22.80,"Château Mouras Graves, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-mouras-graves-bordeaux-fr1337.html,france,https://www.vivino.com/FR/en/wines/2311863,3.4,Château Les Graves du Champ des Chails Blaye - Côtes de Bordeaux 0,—,france,blaye-cotes-de-bordeaux,1030,52,20 - 30 USD,60
42.95,"Château Fleur de Lisse Saint-Émilion Grand Cru, Bordeaux",https://www.i-d-s.com/dubai/ch-teau-fleur-de-lisse-saint-milion-grand-cru-bordeaux-fr1336.html,france,https://www.vivino.com/FR/en/wines/4823445,3.9,Château Fleur de Lisse Saint-Emilion Grand Cru 0,75,france,st-emilion-grand-cru,1211,88,40 - 50 USD,90
71.60,"Baron Philippe de Rothschild, Mouton Cadet Blanc",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mini-mouton-cadet-blanc-mw1000.html,france,https://www.vivino.com/FR/en/wines/2665319,3.4,Baron Philippe de Rothschild Bordeaux Blanc 0,—,france,bordeaux,4402,82,70 - 80 USD,90
67.70,"Baron Philippe de Rothschild, Mouton Cadet Rouge",https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mouton-cadet-rouge-mw1001.html,france,https://www.vivino.com/FR/en/wines/1516700,3.4,Baron Philippe de Rothschild Bordeaux Rouge 0,90,france,bordeaux,13525,82,60 - 70 USD,90
109.45,Taittinger Rose including 2 glasses,https://www.i-d-s.com/dubai/taittinger-rose-including-2-glasses-zz11289.html,france,https://www.vivino.com/FR/en/wines/164942680,4.1,Taittinger Prestige Rosé Brut Champagne 0,80.6,france,champagne,10781,50,>100 USD,50
14.80,"Domaine de Grange Neuve, Monbazillac",https://www.i-d-s.com/dubai/domaine-de-grange-neuve-monbazillac-dw1003.html,france,https://www.vivino.com/FR/en/wines/4854764,4,Domaine de Grange Neuve Monbazillac 0,—,france,monbazillac,1194,96,10 - 20 USD,100
23.55,"Louis Tete, Brouilly",https://www.i-d-s.com/dubai/louis-tete-brouilly-fr1344.html,france,https://www.vivino.com/FR/en/wines/2375335,3.8,Louis Tête Brouilly 0,19,france,brouilly,601,88,20 - 30 USD,90
38.35,Minuty Prestige Magnum (1.5L),https://www.i-d-s.com/dubai/minuty-prestige-magnum-1-5l-fr4319.html,france,https://www.vivino.com/FR/en/wines/1924779,4,Minuty Prestige Rosé 0,21,france,cotes-de-provence,12998,67,30 - 40 USD,70
44.80,Maison Champy Volnay- BIO,https://www.i-d-s.com/dubai/maison-champy-volnay-bio-fr4403.html,france,https://www.vivino.com/FR/en/wines/155413606,3.5,Maison Champy Le Jardin Bio Champy Savigny-les-Beaune 0,—,france,cote-de-beaune,25,50,40 - 50 USD,50
438.05,"2020 Château Pibran, Pauillac",https://www.i-d-s.com/dubai/2020-ch-teau-pibran-pauillac-fw1243.html,france,https://www.vivino.com/FR/en/wines/1803917,4,Château Pibran Pauillac 0,37.22,france,pauillac,6622,85,>100 USD,90
71.40,"Domaine du Closel Clos du Papillon Savennières, 2020",https://www.i-d-s.com/dubai/domaine-du-closel-clos-du-papillon-savenni-res-2020-fr1314.html,france,https://www.vivino.com/FR/en/wines/169127206,4.1,Domaine du Closel - Château des Vaults Clos du Papillon Savennières 2020 2020,42.9,france,savennieres,108,79,70 - 80 USD,80
25.50,"Domaine Marcel Couturier  ""Aux Scellés"" Mâcon Blanc, 2020",https://www.i-d-s.com/dubai/domaine-marcel-couturier-aux-scell-s-m-con-blanc-2020-fr1312.html,france,https://www.vivino.com/FR/en/wines/171145248,0,Marcel Couturier Les Scellés Mâcon Blanc 2020 2020,—,france,macon,62,79,20 - 30 USD,80
748.15,"2019 Château Pape Clément Grand Cru Classé de Graves, Pessac-Léognan",https://www.i-d-s.com/dubai/2019-ch-teau-pape-cl-ment-grand-cru-class-de-graves-pessac-l-ognan-fw1204.html,france,https://www.vivino.com/FR/en/wines/1654167,4.4,Château Pape Clément Pessac-Léognan (Grand Cru Classé de Graves) 0,107.64,france,pessac-leognan,32572,72,>100 USD,80
149.45,Antoine Geoffroy Puligny Montrachet Vieilles Vignes,https://www.i-d-s.com/dubai/antoine-geoffroy-puligny-montrachet-vieilles-vignes-fr1303.html,france,https://www.vivino.com/FR/en/wines/177860102,0,Antoine Geoffroy Vieilles Vignes Puligny-Montrachet 0,—,france,puligny-montrachet,-,67,>100 USD,70
27.10,Domaine Figeat L'Héritage` Pouilly-Fumé,https://www.i-d-s.com/dubai/domaine-figeat-l-h-ritage-pouilly-fum-fr1339.html,france,https://www.vivino.com/FR/en/wines/174257532,0,André et Edmond Figeat L'Héritage Pouilly Fumé 0,—,france,pouilly-fume,11469,76,20 - 30 USD,80
