,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price bucket,confidence bucket
0,54.25,Piper-Heidsieck Cuvée Brut,https://www.i-d-s.com/dubai/piper-heidsieck-cuv-e-brut-cp1009.html,france,https://www.vivino.com/FR/en/wines/156715939,4,Piper-Heidsieck Cuvée Brut Champagne 0,33.94,france,champagne,14305,81,less than 60 USD,90
1,14.55,Small Victories Shiraz,https://www.i-d-s.com/dubai/small-victories-shiraz-au1109.html,australia,https://www.vivino.com/FR/en/wines/170229743,0,Small Victories Wine Co Shiraz 0,—,australia,eden-valley,29,81,less than 20 USD,90
2,18.5,Petaluma White Label Chardonnay Adelaide Hills,https://www.i-d-s.com/dubai/petaluma-white-label-chardonnay-adelaide-hills-au1092.html,australia,https://www.vivino.com/FR/en/wines/2452886,3.6,Petaluma White Label Chardonnay 0,—,australia,adelaide-hills,819,81,less than 20 USD,90
3,42.35,Penfolds Bin 28 Kalimna Shiraz,https://www.i-d-s.com/dubai/penfolds-bin-28-kalimna-shiraz-au1043.html,australia,https://www.vivino.com/FR/en/wines/1471246,4.1,Penfolds Bin 28 Shiraz 0,—,australia,barossa-valley,35083,81,less than 50 USD,90
4,12.9,MOKO Black Sauvignon Blanc,https://www.i-d-s.com/dubai/moko-black-sauvignon-blanc-nz1000.html,new_zealand,https://www.vivino.com/FR/en/wines/2271217,4,Ant Moore Moko Black Sauvignon Blanc 0,—,new-zealand,marlborough,1841,81,less than 20 USD,90
5,13.25,Coterie Cabernet Franc Malbec,https://www.i-d-s.com/dubai/coterie-cabernet-franc-malbec-za1071.html,south_africa,https://www.vivino.com/FR/en/wines/165977300,3.9,Wildeberg Coterie Cabernet Franc - Malbec 0,15,south-africa,coastal-region,322,81,less than 20 USD,90
6,21.1,"Rathfinny Cradle Valley, Pinot Blanc",https://www.i-d-s.com/dubai/rathfinny-cradle-valley-pinot-blanc-gb1005.html,uk,https://www.vivino.com/FR/en/wines/144252436,3.9,Rathfinny Cradle Valley Pinot Blanc - Chardonnay 0,—,united-kingdom,sussex,34,81,less than 30 USD,90
7,13.1,Murphy-Goode North Coast Sauvignon Blanc,https://www.i-d-s.com/dubai/murphy-goode-north-coast-sauvignon-blanc-us2104.html,usa,https://www.vivino.com/FR/en/wines/2106126,3.5,Murphy-Goode The Fumé Sauvignon Blanc 0,-,-,-,-,81,less than 20 USD,90
8,15.25,Alde Gott Ausblick Grauburgunder Spätlese Trocken,https://www.i-d-s.com/dubai/alde-gott-ausblick-grauburgunder-sp-tlese-trocken-ge4021.html,germany,https://www.vivino.com/FR/en/wines/3906818,3.8,Alde Gott Spätburgunder Spätlese Trocken 0,—,germany,baden,410,81,less than 20 USD,90
9,43.45,Château Mont-Redon Châteauneuf-du-Pape Rouge,https://www.i-d-s.com/dubai/ch-teau-mont-redon-ch-teauneuf-du-pape-rouge-zz18126.html,france,https://www.vivino.com/FR/en/wines/141143040,4.2,Château Mont-Redon Vignoble Fabre Chateauneuf-du-Pape Rouge 0,—,france,chateauneuf-du-pape,976,82,less than 50 USD,90
10,32.35,Château Enclos Haut-Mazeyres,https://www.i-d-s.com/dubai/ch-teau-enclos-haut-mazeyres-fr4330.html,france,https://www.vivino.com/FR/en/wines/5026097,4.1,Château Enclos Haut Mazeyres Pomerol 0,—,france,pomerol,981,82,less than 40 USD,90
11,63.35,"Fernand &amp; Laurent Pillot Chassagne Montrachet 1er Cru ""Vide Bourse""",https://www.i-d-s.com/dubai/fernand-laurent-pillot-chassagne-montrachet-1er-cru-vide-bourse-fr1215.html,france,https://www.vivino.com/FR/en/wines/1860621,4.3,Domaine Fernand \u0026 Laurent Pillot Chassagne-Montrachet 1er Cru 'Vide Bourse' 0,83,france,chassagne-montrachet-vide-bourse,419,82,less than 70 USD,90
